id;OEM;Артикул;Бренд;Группа;Деталь;Номенклатура;З/Н;Комментарий;Цена;Новинка;Уникльный ключ;Категория по бренду;Ранг по бренду;Категория по деталям;Ранг по деталям;Ранг;abc/xyz;Дата;Компания
519502;AMD.FC842A;21110812202082;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 21110-8122020-82/AMD.FC842A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);LADA (2110-2112) (09.2003-) (Priora);458,00;;519502AMD.FC842A;;0;;0;4547;CZ;01.08.2023;Москворечье
519503;AMD.FC843A;21140812202000;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 21140-8122020-00/AMD.FC843A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);LADA (2114);910,00;;519503AMD.FC843A;;0;;0;4547;CZ;01.08.2023;Москворечье
523331;AMD.FC924A;21758906;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 21758906/AMD.FC924A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (FH 12) (1993-) (FH 16) (1993-) (FM 7) (FM 10) (FM 12) (1998-) (FM 9) (2001-);425,00;Новинка;523331AMD.FC924A;;0;;0;4547;CZ;01.08.2023;Москворечье
520424;AMD.FC865A;23281440;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 23281440/AMD.FC865A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);CHEVROLET (Tahoe IV K2UC) (2014-) CADILLAC (Escalade IV GMT K2) (2014-);387,00;;520424AMD.FC865A;CY;1170;BX;69;1170;BX;01.08.2023;Москворечье
522928;AMD.FC918A;23515118;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 23515118/AMD.FC918A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (FH II) (2012-) (FH) (2012-) (FH 16 II) (2012-);545,00;Новинка;522928AMD.FC918A;;0;;0;4547;CZ;01.08.2023;Москворечье
523342;AMD.FC936A;23515346;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 23515346/AMD.FC936A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (FH II) (2012-) (FMX II) (2013-) (грубой очистки);361,00;Новинка;523342AMD.FC936A;;0;;0;4547;CZ;01.08.2023;Москворечье
519519;AMD.FC791A;27274EA000;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27274-EA000/AMD.FC791A (антибактериальный, угольный) (2 шт) AMD;AMD / FCR 2018 (Склад);NISSAN (Pathfinder III R51M) (2005-) (Navara III) (2004-);488,00;;519519AMD.FC791A;CZ;1316;CZ;74;1316;CZ;01.08.2023;Москворечье
519520;AMD.FC792A;2727531U25;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27275-31U25/AMD.FC792A (антибактериальный, угольный) (2 шт) AMD;AMD / FCR 2018 (Склад);NISSAN (Patrol III Y61) (1997-2010);552,00;;519520AMD.FC792A;;0;;0;4547;CZ;01.08.2023;Москворечье
519518;AMD.FC757A;272771HE0E;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27277-1HE0E/AMD.FC757A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (Note E12) (2013-) (Micra K13) (2010-);505,00;;519518AMD.FC757A;;0;;0;4547;CZ;01.08.2023;Москворечье
519522;AMD.FC815A;272773JC1A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27277-3JC1A/AMD.FC815A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (Teana L33R) (2014-) (Murano Z52R) (2016-);492,00;;519522AMD.FC815A;CZ;1207;BY;65;1207;BY;01.08.2023;Москворечье
517523;AMD.FC759A;272774BA0A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27277-4BA0A/AMD.FC759A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (X-Trail T32) (2014-) (Qashqai II J11E) (2013-)  RENAULT (Koleos II) (2016-) DACIA (Lodgy) (2;353,00;;517523AMD.FC759A;CZ;1271;CZ;34;1271;CZ;01.08.2023;Москворечье
517524;AMD.JFC85A;27277EN025;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27277-EN025/AMD.JFC85A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (Qashqai I J10E) (X-Trail T31);290,00;;517524AMD.JFC85A;BY;957;AX;10;957;AX;01.08.2023;Москворечье
520918;AMD.FC884A;272770840R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272770840R/AMD.FC884A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Koleos HY0) (2008-2017);241,00;;520918AMD.FC884A;;0;;0;4547;CZ;01.08.2023;Москворечье
517525;AMD.REN333A;272772835R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272772835R/AMD.REN333A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Logan LS) (2004-2015) (Sandero BS0) (2009-2014) (Duster HSA/M) (2011-2015) LADA (Largus) (2;356,00;;517525AMD.REN333A;BY;920;AX;9;920;AX;01.08.2023;Москворечье
519529;AMD.FC848A;272772951R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272772951R/AMD.FC848A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Laguna III) (2007-);415,00;;519529AMD.FC848A;CZ;1183;BY;60;1183;BY;01.08.2023;Москворечье
517526;AMD.FC738A;272773016R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272773016R/AMD.FC738A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Logan II L8) (2013-) (Sandero Stepway II 5S) (2014-) (Sandero II 5S) (2014-) (Kaptur) (2016;395,00;;517526AMD.FC738A;;0;;0;4547;CZ;01.08.2023;Москворечье
517527;AMD.FC844A;272774936R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272774936R/AMD.FC844A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Fluence L30) (2010-) NISSAN (Juke F15) (2010-);370,00;;517527AMD.FC844A;CZ;1185;CY;21;1185;CY;01.08.2023;Москворечье
519531;AMD.FC849A;272778970R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272778970R/AMD.FC849A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Megane III) (2008-);436,00;;519531AMD.FC849A;;0;;0;4547;CZ;01.08.2023;Москворечье
